Name,Grade1,Grade2,Grade3
793802483,76,81,57
793802483,83,91,97
793802483,100,50,51
793802483,57,53,64
793802483,77,83,78
793802483,66,67,66
793802483,98,88,85
793802483,57,70,89
793802483,67,74,65
793802483,62,80,73
793802483,93,94,61
793802483,79,63,76
793802483,93,66,99
793802483,65,71,69
793802483,50,55,72
793802483,89,63,86
793802483,100,83,83
793802483,53,87,60
793802483,65,95,94
793802483,73,61,70
793802483,61,70,86
793802483,62,92,52
793802483,65,84,67
793802483,85,64,87
793802483,64,65,72
793802483,78,91,79
793802483,53,86,96
793802483,71,71,87
793802483,62,81,68
793802483,59,55,77
793802483,78,53,51
793802483,54,54,75
793802483,59,92,70
793802483,53,81,79
793802483,73,93,59
793802483,89,86,54
793802483,51,81,93
793802483,88,53,84
793802483,54,63,63
793802483,78,79,51
793802483,57,68,87
793802483,89,76,78
793802483,70,95,63
793802483,59,88,53
793802483,80,65,72
793802483,52,66,76
793802483,84,61,96
793802483,64,87,75
793802483,90,58,66
793802483,88,84,50
793802483,71,91,63
793802483,93,62,66
793802483,82,80,65
793802483,73,81,62
793802483,60,83,89
793802483,73,88,67
793802483,73,93,84
793802483,51,73,52
793802483,89,80,86
793802483,76,91,61
793802483,54,67,71
793802483,73,69,70
793802483,53,72,51
793802483,55,70,57
793802483,73,55,93
793802483,97,90,93
793802483,64,81,100
793802483,59,96,84
793802483,100,73,76
793802483,90,61,58
793802483,99,84,88
793802483,75,60,63
793802483,99,98,62
793802483,95,84,98
793802483,88,79,74
793802483,91,58,76
793802483,60,65,95
793802483,93,84,89
793802483,76,82,60
793802483,83,92,67
793802483,72,52,79
793802483,75,52,61
793802483,91,54,57
793802483,53,84,84
793802483,64,85,78
793802483,97,54,87
793802483,100,60,81
793802483,62,50,82
793802483,65,93,89
793802483,88,69,98
793802483,96,73,93
793802483,64,64,85
793802483,80,67,87
793802483,78,82,68
793802483,78,61,100
793802483,81,85,50
793802483,94,54,68
793802483,73,77,87
793802483,59,56,94
793802483,98,79,86
793802483,73,77,67
793802483,67,82,83
793802483,51,90,64
793802483,71,75,84
793802483,61,52,88
793802483,82,83,91
793802483,71,90,57
793802483,52,92,53
793802483,94,67,90
793802483,89,98,82
793802483,100,97,83
793802483,92,79,83
793802483,98,97,72
793802483,91,60,67
793802483,72,53,77
793802483,75,99,59
793802483,69,79,92
793802483,84,89,70
793802483,79,54,71
793802483,69,100,81
793802483,64,55,57
793802483,75,51,70
793802483,67,85,89
793802483,95,100,69
793802483,70,59,97
793802483,59,98,97
793802483,55,75,97
793802483,68,93,54
793802483,97,82,93
793802483,99,54,56
793802483,78,63,69
793802483,86,87,77
793802483,51,56,53
793802483,62,68,87
793802483,79,53,92
793802483,63,76,91
793802483,63,90,75
793802483,50,99,79
793802483,62,75,57
793802483,92,61,96
793802483,80,61,52
793802483,93,53,86
793802483,81,82,67
793802483,73,67,50
793802483,54,74,80
793802483,93,55,53
793802483,68,69,86
793802483,76,80,68
793802483,73,88,62
793802483,74,53,89
793802483,51,51,67
793802483,61,76,81
793802483,54,96,66
793802483,94,76,54
793802483,79,85,58
793802483,67,65,81
793802483,88,98,52
793802483,66,52,66
793802483,61,59,67
793802483,80,81,89
793802483,54,63,55
793802483,56,79,64
793802483,53,85,74
793802483,64,100,86
793802483,62,99,95
793802483,96,70,59
793802483,99,77,64
793802483,67,84,92
793802483,98,96,75
793802483,98,92,69
793802483,67,98,67
793802483,66,54,78
793802483,66,80,73
793802483,85,50,93
793802483,73,70,88
793802483,50,77,93
793802483,52,90,77
793802483,59,90,71
793802483,93,77,90
793802483,74,88,77
793802483,92,57,60
793802483,51,67,65
793802483,85,71,58
793802483,56,94,71
793802483,87,78,73
793802483,82,70,66
793802483,96,79,78
793802483,62,85,72
793802483,86,99,80
793802483,61,93,98
793802483,54,52,79
793802483,70,70,56
793802483,70,53,59
793802483,64,54,97
793802483,86,98,80
793802483,55,55,79
793802483,92,97,91
793802483,51,81,61
793802483,75,75,69
793802483,96,61,81
793802483,95,61,85
793802483,77,100,81
793802483,80,88,84
793802483,81,72,79
793802483,80,78,60
793802483,72,53,85
793802483,76,96,71
793802483,76,52,92
793802483,51,93,61
793802483,90,51,76
793802483,62,95,77
793802483,73,61,98
793802483,66,50,59
793802483,78,87,71
793802483,100,70,56
793802483,76,69,54
793802483,67,92,72
793802483,63,77,100
793802483,59,66,71
793802483,74,78,71
793802483,80,52,52
793802483,63,58,84
793802483,59,96,51
793802483,54,61,52
793802483,61,87,64
793802483,76,82,94
793802483,65,52,64
793802483,69,65,64
793802483,68,85,83
793802483,94,66,75
793802483,58,61,72
793802483,84,68,60
793802483,77,72,74
793802483,62,72,100
793802483,65,92,65
793802483,72,97,90
793802483,56,50,92
793802483,72,63,100
793802483,60,66,90
793802483,61,87,80
793802483,54,73,80
793802483,65,81,70
793802483,76,85,69
793802483,100,58,54
793802483,84,72,63
793802483,62,94,62
793802483,83,57,55
793802483,58,68,84
793802483,56,62,59
793802483,91,55,57
793802483,84,72,61
793802483,73,87,91
793802483,80,100,86
793802483,60,88,84
793802483,81,91,55
793802483,94,85,53
793802483,77,69,52
793802483,92,88,72
793802483,52,52,82
793802483,59,86,67
793802483,82,65,85
793802483,53,91,83
793802483,87,55,62
793802483,51,71,79
793802483,83,96,78
793802483,51,92,82
793802483,92,95,78
793802483,76,83,50
793802483,61,99,74
793802483,66,85,91
793802483,77,56,94
793802483,71,91,60
793802483,83,97,88
793802483,65,71,50
793802483,68,50,84
793802483,81,65,69
793802483,67,80,60
793802483,98,60,91
793802483,55,99,75
793802483,65,86,67
793802483,90,100,63
793802483,89,65,64
793802483,56,74,51
793802483,64,87,72
793802483,67,57,56
793802483,63,66,73
793802483,70,91,54
793802483,80,93,90
793802483,72,52,82
793802483,77,99,97
793802483,55,69,67
793802483,90,63,99
793802483,57,97,50
793802483,55,57,68
793802483,59,99,72
793802483,93,98,58
793802483,75,72,57
793802483,87,90,57
793802483,87,90,53
793802483,96,57,61
793802483,70,92,95
793802483,99,52,63
793802483,57,96,86
793802483,60,85,78
793802483,97,82,66
793802483,61,76,93
793802483,69,70,50
793802483,88,96,72
793802483,90,71,79
793802483,61,89,85
793802483,97,98,97
793802483,90,53,87
793802483,67,80,97
793802483,94,54,64
793802483,80,52,55
793802483,93,61,64
793802483,53,50,76
793802483,90,81,67
793802483,83,98,60
793802483,73,64,52
793802483,95,75,72
793802483,73,63,95
793802483,86,74,75
793802483,55,56,65
793802483,73,80,84
793802483,92,90,82
793802483,61,53,74
793802483,70,72,73
793802483,53,69,93
793802483,76,79,97
793802483,50,84,96
793802483,69,100,96
793802483,99,92,50
793802483,77,91,60
793802483,97,69,67
793802483,55,50,92
793802483,84,64,69
793802483,87,68,84
793802483,51,85,78
793802483,89,95,86
793802483,53,53,54
793802483,51,65,63
793802483,74,59,86
793802483,88,56,72
793802483,59,99,87
793802483,96,54,91
793802483,100,56,86
793802483,72,95,82
793802483,94,98,91
793802483,58,71,60
793802483,65,80,97
793802483,75,98,81
793802483,75,95,96
793802483,67,61,98
793802483,94,52,95
793802483,69,51,68
793802483,68,73,65
793802483,81,88,74
793802483,85,91,64
793802483,65,65,91
793802483,83,62,89
793802483,96,75,83
793802483,66,81,79
793802483,53,88,54
793802483,70,61,60
793802483,80,82,68
793802483,94,54,50
793802483,85,86,100
793802483,93,82,68
793802483,99,97,87
793802483,61,58,97
793802483,63,67,58
793802483,75,77,79
793802483,66,99,97
793802483,52,72,90
793802483,64,69,62
793802483,81,62,89
793802483,71,51,68
793802483,91,95,75
793802483,57,56,84
793802483,57,93,51
793802483,85,65,58
793802483,51,100,62
793802483,57,94,77
793802483,95,65,95
793802483,67,75,80
793802483,61,81,89
793802483,84,100,68
793802483,86,81,79
793802483,100,92,88
793802483,59,63,84
793802483,72,73,91
793802483,76,73,72
793802483,79,55,81
793802483,68,82,81
793802483,59,64,70
793802483,74,98,100
793802483,53,70,94
793802483,74,70,89
793802483,82,92,53
793802483,98,93,89
793802483,85,51,90
793802483,79,77,84
793802483,82,89,81
793802483,73,94,91
793802483,94,100,88
793802483,99,100,78
793802483,58,80,90
